Customer_ID,Name,Age,Gender,Email,Phone,Address,City,State,Country,Zip,Registration_Date,Last_Login,Account_Balance,Subscription_Status,Feedback_Score,Preferred_Language,Device_Type,Referral_Code,Purchase_Count
CUST4759,John Doe,45,,user445@example.com,9123456780,456 Ave,Los Angeles,NY,USA,10001,,,,Active,3,Spanish,,,3
CUST8553,,40,Male,user754@example.com,,123 St,Los Angeles,NY,USA,60601,,12/1/2022,,,4,,Mobile,REF123,1
CUST8441,,,Other,user345@example.com,9876543210,,,NY,US,,1/1/2021,5/5/2023,100,Cancelled,,,Desktop,REF123,2
CUST1138,,25,Female,user270@example.com,9988776655,,Houston,NY,,60601,1/1/2021,5/5/2023,250.5,,3,,Mobile,REF123,0
CUST8530,John Doe,40,F,user631@example.com,,123 St,,,US,,,,250.5,,5,English,Tablet,,1
CUST8995,,,Female,user354@example.com,9876543210,123 St,Houston,NY,,,6/15/2020,12/1/2022,100,,2,Spanish,Mobile,REF123,1
CUST5791,John Doe,45,M,user946@example.com,9988776655,456 Ave,,IL,US,,6/15/2020,,250.5,Inactive,,Spanish,Mobile,,3
CUST9375,Sam,35,Other,user581@example.com,9988776655,789 Blvd,Houston,,,90001,11/20/2019,12/1/2022,1000,,1,,Tablet,,0
CUST6518,Alice,30,,user46@example.com,9988776655,123 St,Los Angeles,,,,11/20/2019,,100,Active,2,,,REF123,0
,Alice,50,,user329@example.com,9876543210,789 Blvd,,,,10001,1/1/2021,5/5/2023,100,Cancelled,4,Spanish,,REF123,0
CUST4230,,45,Male,user672@example.com,9876543210,,Los Angeles,NY,USA,90001,11/20/2019,,1000,,5,French,,REF123,1
CUST6746,Sam,45,M,user340@example.com,9123456780,456 Ave,,CA,USA,10001,6/15/2020,,0,Cancelled,5,,Tablet,REF123,3
CUST4161,,25,F,user16@example.com,,,Houston,,,,,,,Cancelled,2,,Tablet,,2
CUST9366,Jane Smith,35,Other,user624@example.com,9876543210,789 Blvd,Los Angeles,IL,US,,1/1/2021,,250.5,Cancelled,1,Spanish,Mobile,,0
CUST7622,Jane Smith,40,Male,user193@example.com,,789 Blvd,,CA,US,90001,1/1/2021,,1000,,5,,,REF123,0
CUST4260,Sam,25,F,user679@example.com,,123 St,,NY,US,60601,1/1/2021,,250.5,Active,1,Spanish,Tablet,,2
